 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR2_run3 | -2.9329e-06 / 2.9329e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0189008 / 0.0222594 | -0.0190043 / 0.0149818 | 0 / 0 | -0.0142481 / 0.00819391 | 0 / 0 | -0.0149002 / 0.0211374 | -0.0277178 / 0.0403265 | -0.0231029 / 0.0172355 | -0.0166236 / 0.0223398 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0105529 / -0.0105548 | -0.0193832 / 0.0193767 | 0.0643418 / -0.050568 | 0.0172835 / 0.00532646 | 0 / 0 | 0.0176343 / -0.016826 | -0.0202601 / 0.0206473 | -0.0426046 / 0.0425747 | 0.0197259 / -0.0195177 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0176366 / -0.017634 | 0.0284551 / -0.0284488 | 0.06493 / -0.0575623 | 0.0159858 / -0.0159836 | 0 / 0 | 0.0177466 / -0.0172796 | 0.039637 / -0.0245607 | 0.164693 / 0.00532773 | 0.0185372 / -0.0185343 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0142735 / -0.0142743 | -0.0101522 / 0.0101517 | 0.0624862 / -0.0484191 | 0.0424732 / 0.00735219 | 0 / 0 | 0.0206115 / -0.0193241 | 0.0144713 / -0.000609754 | 0.190482 / 0.136634 | 0.0166503 / -0.0146827 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0395267 / -0.0395308 | 0.0535381 / -0.0535466 | 0.0271943 / -0.0132328 | 0.0797534 / -0.0797767 | 0 / 0 | 0.0323179 / -0.0308799 | 0.0763665 / -0.061336 | 0.196924 / 0.0358237 | 0.0288514 / -0.0288534 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0322127 / 0.0322211 | -0.0350618 / 0.0350715 | -0.0289445 / 0.0289515 | -0.0595374 / 0.059558 | 0 / 0 | -0.0280978 / 0.0281043 | -0.036617 / 0.0370056 | 0.0352242 / 0.0106785 | -0.0316276 / 0.0316358 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0573301 / -0.0570403 | 0.0772752 / -0.076765 | 0.0818304 / -0.0617183 | 0.136882 / -0.0997929 | 0 / 0 | 0.0627234 / -0.0612878 | 0.0636322 / -0.0480437 | 0.461731 / -0.0459043 | 0.0510966 / -0.0508641 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0374136 / -0.0373895 | 0.0306245 / -0.0306079 | 0.0477049 / -0.0338894 | 0.0331311 / -0.0331118 | 0 / 0 | 0.0393188 / -0.0388231 | 0.080511 / -0.0662603 | 0.250791 / -0.00311591 | 0.0306389 / -0.0306222 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0145486 / -0.0145482 | 0.0108077 / -0.0108074 | 0.0645993 / -0.051005 | 0.0547821 / -0.054784 | 0 / 0 | 0.020174 / -0.0197046 | 0.0189806 / -0.0130317 | -0.00251497 / 0.0216844 | 0.0206282 / -0.0206274 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0862809 / 0.0870719 | -0.0945263 / 0.095462 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0185183 / -0.0184938 | 0.0329582 / -0.0328822 | 0.0731277 / -0.0537807 | 0.0115327 / 0.0287746 | 0 / 0 | 0.0264575 / -0.0259872 | 0.0434668 / -0.026418 | 0.104765 / 0.0192184 | 0.0165454 / -0.0165256 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.10999 / -0.109814 | 0.113332 / -0.11315 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0361746 / -0.0361843 | 0.0208035 / -0.0208066 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0107424 / 0.0107554 | -0.0623277 / 0.062799 | -0.00527758 / 0.0390918 | 0.0376612 / 0.0177555 | 0 / 0 | 0.0128299 / -0.012104 | -0.0713148 / 0.109776 | 0.571535 / 0.080469 | -0.0298706 / 0.0363024 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0176556 / -0.0176551 | 0 / 0 | 0.0270002 / -0.0269991 | 0 / 0 | 0 / 0 | 0.0387482 / -0.0387469 | 0.0422408 / -0.0422396 | 0.0483376 / -0.0483367 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0292812 / 0.029276 | -0.0279895 / 0.0279848 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 3.42605e-06 / -3.35893e-06 | 0.0320742 / -0.0320875 | 0 / 0 | 0.0281383 / -0.0281487 | 0 / 0 | 0 / 0 | -0.0146081 / 0.014605 | -0.027869 / 0.0278577 | -0.0153769 / 0.0153736 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 6.46912e-06 / -6.42116e-06 | 0 / 0 | -0.018565 / 0.0185642 | -0.0162903 / 0.0162897 | 0 / 0 | 9.59707e-07 / -1.82615e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | -6.4854e-06 / 6.54732e-06 | 0.00996612 / -0.00996713 | 0.0256699 / -0.0181325 | 0.0161809 / -0.0161835 | 0 / 0 | 5.78483e-06 / -5.31922e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -2.38165e-05 / 2.40667e-05 | 0 / 0 | 0.0642605 / -0.0504654 | 0 / 0 | 0 / 0 | 4.80425e-05 / -4.86783e-05 | 0 / 0 | 0.00242282 / 0.0174571 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | -2.93165e-05 / 2.94641e-05 | 0.0129351 / -0.012936 | 0.0568111 / -0.0568355 | 0 / 0 | 0 / 0 | 5.31072e-05 / -5.2744e-05 | 0 / 0 | -0.00652764 / 0.0259084 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -1.14682e-05 / 1.15264e-05 | 0.0116477 / -0.0116477 | -0.0100362 / 0.0100361 | 0.0300198 / -0.0215603 | 0 / 0 | -2.30815e-05 / 2.27982e-05 | 0.095227 / -0.0951878 | 0.144467 / -0.0376871 | 0.0136515 / -0.0136515 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | -9.91741e-06 / 9.97594e-06 | 0.0143347 / -0.0143334 | -0.0234894 / 0.0234918 | -0.0327811 / 0.0327855 | 0 / 0 | 5.34744e-05 / -5.33525e-05 | 0.0736868 / -0.0728623 | 0.27194 / -0.0512827 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 7.49434e-06 / -7.50605e-06 | 0 / 0 | 0.0195981 / -0.014743 | -0.0377796 / 0.0378212 | 0 / 0 | -4.90452e-05 / 5.0707e-05 | 0.0252657 / -0.00193408 | 0.415057 / -0.00712589 | 0.0150237 / -0.0150176 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | -1.39417e-05 / 1.39417e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 4.0098e-05 / -4.0098e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0141225 / -0.0141004 | -0.0198641 / 0.0339749 | 0.0201422 / 0.0449851 | 0 / 0 | -0.0173497 / 0.0185007 | -0.0175463 / 0.0527873 | 0.336532 / 0.0890804 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0.0560521 / -0.0560033 | 0.0488348 / -0.0487984 | 0.0894495 / -0.089315 | 0 / 0 | 0 / 0 | -0.0412083 / 0.0479359 | 0.0313487 / 0.0265694 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | -0.0226785 / 0.0226816 | 0.0182464 / -0.0182439 | 0.0690936 / -0.0659455 | 0 / 0 | 2.23513e-05 / -2.14705e-05 | 0.0334341 / -0.0254462 | 0.0190276 / 0.0721894 | -0.0184088 / 0.0184109 | 0 / 0 | 0 / 0 |
