 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | 0.008745 / -0.0103438 | 0 / 0 | 0 / 0 | 0.0186284 / -0.0268125 | 0 / 0 | 0.0164325 / -0.0157645 | 0 / 0 | -2.22045e-16 / 0 | 0.0191882 / -0.0178053 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0409881 / -0.0409881 | 0.040037 / -0.0400369 | 0.0316123 / -0.0316123 | 0.0325153 / -0.0325153 | 0 / 0 | 0.0343145 / -0.0343146 | 0.0357486 / -0.0357485 | 0.0433969 / -0.043397 | 0.0139341 / -0.0139341 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0149477 / -0.0149478 | 0.0268015 / -0.0268015 | 0.018299 / -0.018299 | 0.0104855 / 0.00529091 | 0 / 0 | 0.0122488 / -0.0122488 | 0.023458 / -0.023458 | 0.0260667 / -0.0260667 | 0.0190228 / -0.0190228 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0489899 / -0.0489899 | 0.0413801 / -0.0408217 | 0.038114 / -0.0381141 | 0.0377041 / -0.0215962 | 0 / 0 | 0.040285 / -0.040285 | 0.0455675 / -0.0455675 | 0.0521436 / -0.0521436 | 0.0411578 / -0.0411578 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0497775 / -0.0497775 | 0.0302928 / -0.0297344 | 0.0463016 / -0.0463016 | 0.0411054 / -0.0411053 | 0 / 0 | 0.034457 / -0.034457 | 0.0549716 / -0.0549717 | 0.0570483 / -0.0570483 | 0.0121338 / -0.0121339 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.025016 / 0.025016 | -0.0118864 / 0.0118863 | -0.0331574 / 0.0331574 | -0.0143579 / 0.0143579 | 0 / 0 | -0.0173496 / 0.0173496 | -0.0321078 / 0.0321077 | -0.0292952 / 0.0292951 | -0.0104858 / 0.0104859 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0584777 / -0.0584777 | 0.0390947 / -0.0390948 | 0.0650515 / -0.0650515 | 0.075236 / -0.075236 | 0 / 0 | 0.0377497 / -0.0377496 | 0.063612 / -0.0636121 | 0.0579891 / -0.0579891 | 0.0383833 / -0.0383832 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0302934 / -0.0302934 | 0.0122739 / -0.0122739 | 0.0349392 / -0.0349391 | 0.0341052 / -0.0341052 | 0 / 0 | 0.0222645 / -0.0222645 | 0.0423433 / -0.0423433 | 0.0462301 / -0.0462301 | 0.0267756 / -0.0267756 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.024302 / -0.024302 | 0.0137006 / -0.0137006 | 0.0196961 / -0.0196961 | 0.0277164 / -0.0277164 | 0 / 0 | 0.0189403 / -0.0189403 | 0.0271193 / -0.0271194 | 0.0351621 / -0.0351621 | 0.0220048 / -0.0220049 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.049907 / 0.049907 | -0.0361682 / 0.0361682 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
