 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR4 | 8.88178e-16 / -9.99201e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0131098 / 0.0101063 | -0.0126028 / 0.0133022 | 0.712918 / 0.336171 | -0.0550988 / -0.128766 | 0 / 0 | 0.0685479 / 0.0855053 | 0.111209 / -0.0354115 | -0.0357364 / 0.0903219 | -0.051745 / -0.0171243 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0126499 / -0.0126499 | -2.22045e-16 / 0 | 0.0310289 / -0.0135056 | 0.0338053 / -0.0263963 | 0 / 0 | 0.0105609 / -0.00938627 | -0.0790064 / 0.0819447 | -0.0394373 / 0.0394373 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0114978 / -0.0114977 | 0.013865 / -0.013865 | 0.22583 / -0.0746923 | 0.122473 / -0.122473 | 0 / 0 | 0 / 0 | 0.112363 / -0.106374 | 0.0211793 / -0.0211793 | -0.0232162 / 0.0292883 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0104358 / -0.0104358 | 0.0153669 / -0.0153669 | -0.0183468 / 0.0206131 | -0.0957611 / 0.095761 | 0 / 0 | -0.0147408 / 0.0161012 | 0.179953 / -0.178625 | 0.0498471 / -0.0498471 | 0.0417494 / -0.0362096 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0149576 / -0.0149576 | -2.22045e-16 / 0 | 0.0570691 / -0.032484 | -0.185542 / 0.185542 | 0 / 0 | 0.0326177 / -0.0320789 | 0.0209003 / -0.0161833 | -0.0143321 / 0.0158009 | 0.0139959 / -0.0107798 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.010225 / -0.010225 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.03304 / -0.03304 | 0.02943 / -0.0294301 | -0.0357403 / 0.0643025 | 0.0193029 / -0.0185305 | 0 / 0 | 0.0539632 / -0.052815 | 0 / 0 | 0.0576206 / -0.0462188 | 0.0140803 / -0.0116015 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0165534 / -0.0165534 | -2.22045e-16 / -2.22045e-16 | -0.0863175 / 0.12953 | 0.110801 / -0.110801 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.0197485 / -0.0145368 | 0.051989 / -0.0519889 | 0.0262926 / -0.0221569 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0435194 / -0.0435193 | 0 / 0 | 0.175679 / -0.117605 | -0.044159 / 0.0524804 | 0 / 0 | 0 / 0 | 0.0138721 / -0.0137458 | 0 / 0 | 0.0290155 / -0.0270461 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0297636 / 0.0297636 | -0.0174838 / 0.0175839 | 0.139126 / -0.132211 | -0.130121 / 0.130121 | 0 / 0 | -0.0537805 / 0.0547054 | -0.0857702 / 0.0881164 | 0.0488851 / -0.0453726 | -0.0527393 / 0.0634057 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0196247 / 0.0196247 | -0.0116661 / 0.0116661 | -0.0318369 / 0.0562319 | 0.0978872 / -0.097133 | 0 / 0 | -0.0394357 / 0.040594 | -0.181077 / 0.199709 | -0.0240195 / 0.0335498 | 0.0560142 / -0.0534153 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0.0168212 / -0.0168212 | 0 / 0 | 0.0110032 / -0.0054516 | 0.053281 / -0.053281 | 0 / 0 | 0 / 0 | -0.0249005 / 0.0304064 | 0.114707 / -0.109622 | 0.00432067 / 0.0150967 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.0260776 / 0.0260776 | 0 / -3.33067e-16 | 0.0862354 / -0.0862354 | -0.142609 / 0.14338 | 0 / 0 | -4.44089e-16 / 0 | -0.0105934 / 0.018601 | 0.133544 / -0.125772 | 0.0180872 / -0.0130356 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0.0153196 / -0.0153196 | 0 / 0 | 0.157563 / -0.131165 | 0.109745 / -0.109745 | 0 / 0 | 0.0693197 / -0.068146 | -0.127871 / 0.127871 | 0 / 0 | 0.022817 / -0.0179574 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0137089 / -0.0137089 | -2.22045e-16 / 0 | 0.113217 / 0.0317575 | -0.0548982 / 0.0636396 | 0 / 0 | -0.0219627 / 0.0222296 | 0.0868611 / -0.086345 | -0.0659779 / 0.0659779 | -0.0290075 / 0.0312617 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0127854 / 0.0127855 | 0 / 0 | 0.326823 / -0.287448 | -0.0645142 / 0.0645142 | 0 / 0 | -0.020006 / 0.0211268 | -0.0607681 / 0.0647819 | -0.04339 / 0.0462046 | -0.0424544 / 0.0479825 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0.0132415 / -0.0132415 | 0 / 0 | -0.0151099 / 0.0187372 | -0.158227 / 0.169636 | 0 / 0 | 0.02896 / -0.02896 | 0.0280678 / -0.0152897 | 0.0493572 / -0.0363918 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0382607 / 0.0382606 | 0 / 0 | -0.0923371 / 0.092337 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0311749 / -0.0311749 | 0 / 0 | 0.0651398 / -0.0651398 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0375903 / 0.0375903 | -0.0259309 / 0.0259309 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.015896 / 0.015896 | 0.0625401 / -0.0173163 | -0.0187227 / 0.0187228 | 0 / 0 | -0.00956819 / 0.0101558 | 0.0245799 / -0.0232004 | 0.0450339 / -0.037483 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0 / 0 | 0.0223654 / -0.0223654 | 0.157894 / -0.0849728 | 0.103641 / -0.103641 | 0 / 0 | 0.0109094 / -0.0109094 | 0.0181412 / -0.0149255 | -0.0282793 / 0.0282793 | 0.0330165 / -0.0213264 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0 / 0 | 0.0101583 / -0.0101583 | -0.0027026 / 0.0457082 | 0.0233118 / -0.0133997 | 0 / 0 | -0.0428858 / 0.0434651 | 0.140423 / -0.140188 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run2 | 0 / 0 | 0 / 0 | 0.0190461 / -0.0190461 | 0 / 0 | 0.0366176 / -0.0366177 | 0 / 0 | 0.0357666 / -0.0357667 | 0.0325982 / -0.0325982 | 0.0277543 / -0.0277543 | 0.0232525 / -0.0232524 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0 / 0 | 0 / 0 | -0.163678 / 0.163678 | 0.0715928 / -0.0610256 | 0 / 0 | 0.0727095 / -0.072178 | 0.0648347 / -0.0614947 | 0.0251507 / -0.0251508 | 0.0193345 / -0.00820895 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0717454 / -0.0564176 | -0.0174236 / 0.018196 | 0 / 0 | 0.0397626 / -0.0397627 | 0.0250768 / -0.0250768 | -0.0170274 / 0.0170274 | 0.0246901 / -0.0158695 | 0 / 0 | 0 / 0 |
