 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR4 | -1.19866e-06 / 1.19866e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0141248 / 0.0109304 | -0.013839 / 0.0146091 | 0.697793 / 0.429481 | -0.0467975 / -0.148187 | 0 / 0 | 0.0635444 / 0.101477 | 0.116831 / -0.0355049 | -0.0427124 / 0.101885 | -0.0516414 / -0.0219349 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0123853 / -0.012388 | 3.9253e-05 / -3.98229e-05 | 0.0307012 / -0.0135955 | 0.0332214 / -0.0259995 | 0 / 0 | 0.0103156 / -0.00917214 | -0.0775093 / 0.0802752 | -0.0386706 / 0.0386458 | -2.86678e-05 / 3.02468e-05 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0113166 / -0.0113154 | 0.0136704 / -0.0136689 | 0.228347 / -0.0818891 | 0.119808 / -0.11979 | 0 / 0 | 0 / 0 | 0.110292 / -0.10447 | 0.020835 / -0.0208313 | -0.0226431 / 0.0284719 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0103859 / -0.0103838 | 0.0153002 / -0.0152958 | -0.0181869 / 0.0203941 | -0.0957496 / 0.0959919 | 0 / 0 | -0.0146925 / 0.0160163 | 0.177631 / -0.176087 | 0.0495159 / -0.0494755 | 0.0417464 / -0.0363249 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0146533 / -0.0146573 | 2.64577e-05 / -2.66994e-05 | 0.0562287 / -0.0322002 | -0.182632 / 0.182136 | 0 / 0 | 0.0319276 / -0.0314203 | 0.0205413 / -0.015932 | -0.0140302 / 0.0154626 | 0.0137535 / -0.0106078 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0101319 / -0.0101328 | 4.02443e-05 / -4.10244e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0315203 / -0.0314505 | 0.028164 / -0.0281069 | -0.0325053 / 0.0566602 | 0.0184917 / -0.0178118 | 0 / 0 | 0.0513411 / -0.0501889 | 0 / 0 | 0.0556692 / -0.0457642 | 0.0135851 / -0.011471 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0162759 / -0.0162773 | 1.60084e-05 / -1.62501e-05 | -0.0840203 / 0.125834 | 0.108504 / -0.108623 | 0 / 0 | -5.89465e-05 / 5.79293e-05 | 0.0195871 / -0.0145153 | 0.0510416 / -0.0510606 | 0.0259989 / -0.0219759 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0430429 / -0.0430397 | -5.30643e-06 / 5.32844e-06 | 0.171399 / -0.115052 | -0.0438743 / 0.0520015 | 0 / 0 | 0 / 0 | 0.0136975 / -0.0135744 | 0 / 0 | 0.0285499 / -0.0266323 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0314953 / 0.0316103 | -0.0184889 / 0.0186273 | 0.146904 / -0.137931 | -0.138006 / 0.140443 | 0 / 0 | -0.0568724 / 0.0581727 | -0.0907598 / 0.0941 | 0.0518388 / -0.0480668 | -0.0552313 / 0.066175 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0203745 / 0.0204227 | -0.012105 / 0.0121219 | -0.031578 / 0.0549329 | 0.101128 / -0.0993694 | 0 / 0 | -0.0408129 / 0.0421134 | -0.188187 / 0.210899 | -0.0243496 / 0.0335037 | 0.0581454 / -0.0553048 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0.0166136 / -0.0166166 | -8.82527e-07 / 8.86659e-07 | 0.0107862 / -0.00531348 | 0.0526409 / -0.0526693 | 0 / 0 | 0 / 0 | -0.0246604 / 0.0300833 | 0.113313 / -0.108421 | 0.00397786 / 0.0151619 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.0262023 / 0.0262108 | -1.62343e-06 / 1.61605e-06 | 0.0870351 / -0.0869084 | -0.142735 / 0.143669 | 0 / 0 | 1.49517e-05 / -1.5407e-05 | -0.01093 / 0.0189294 | 0.134715 / -0.126683 | 0.0180266 / -0.0129853 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0.0153639 / -0.0153622 | 0 / 0 | 0.157819 / -0.131354 | 0.110367 / -0.110245 | 0 / 0 | 0.0695175 / -0.0683082 | -0.127777 / 0.127826 | 0 / 0 | 0.0227535 / -0.0179048 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0135626 / -0.0135584 | -4.42298e-06 / 4.38507e-06 | 0.0995881 / 0.0384066 | -0.0546797 / 0.0631332 | 0 / 0 | -0.0217324 / 0.0219969 | 0.0863986 / -0.0857011 | -0.0648948 / 0.0649622 | -0.0287847 / 0.0309609 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0130185 / 0.0130233 | 0 / 0 | 0.331519 / -0.289941 | -0.0657597 / 0.0658911 | 0 / 0 | -0.0203396 / 0.0214804 | -0.061822 / 0.0659788 | -0.0441264 / 0.0470182 | -0.0430807 / 0.0487029 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0.013242 / -0.0132389 | 0 / 0 | -0.0152906 / 0.0188571 | -0.157322 / 0.168834 | 0 / 0 | 0.0290494 / -0.0290331 | 0.0273209 / -0.0147954 | 0.0486542 / -0.0359338 | 3.93575e-06 / -6.03808e-06 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0380128 / 0.0380032 | 0 / 0 | -0.0917587 / 0.091703 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0309652 / -0.0309716 | 0 / 0 | 0.0646956 / -0.0647234 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0373643 / 0.0373558 | -0.0257732 / 0.0257691 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.0154625 / 0.0154649 | 0.0569872 / -0.0147154 | -0.0182084 / 0.0182116 | 0 / 0 | -0.00931477 / 0.00986651 | 0.0238598 / -0.0225614 | 0.0433163 / -0.036236 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0 / 0 | 0.0222568 / -0.0222107 | 0.161424 / -0.093661 | 0.1025 / -0.101638 | 0 / 0 | 0.0108616 / -0.0108505 | 0.0182715 / -0.0153525 | -0.0282304 / 0.0283101 | 0.033625 / -0.0230262 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0 / 0 | 0.0099812 / -0.00998106 | -0.000850596 / 0.041925 | 0.0232474 / -0.0137501 | 0 / 0 | -0.0421258 / 0.0426894 | 0.136511 / -0.136404 | 0 / 0 | 1.25919e-05 / -1.29235e-05 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run2 | 0 / 0 | 0 / 0 | 0.0189273 / -0.0189292 | 0 / 0 | 0.0363937 / -0.0364008 | 0 / 0 | 0.0355477 / -0.0355544 | 0.0323979 / -0.0324035 | 0.0275828 / -0.0275869 | 0.0231087 / -0.0231115 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0 / 0 | 1.45949e-05 / -1.47428e-05 | -0.162855 / 0.162708 | 0.0712139 / -0.0607202 | 0 / 0 | 0.0723289 / -0.0718221 | 0.0645264 / -0.0612202 | 0.0250354 / -0.0250382 | 0.0191602 / -0.00808678 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0 / 0 | 5.70406e-06 / -5.76269e-06 | 0.0716063 / -0.0563928 | -0.0173305 / 0.0180958 | 0 / 0 | 0.0395483 / -0.0395515 | 0.0249404 / -0.0249418 | -0.0169503 / 0.01695 | 0.0247225 / -0.0159745 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | -4.21032e-06 / 4.18715e-06 | 0.0677755 / -0.0475581 | 0.0184234 / -0.0176456 | 0 / 0 | -0.0532376 / 0.0538575 | -0.0424354 / 0.0448539 | -0.0215828 / 0.0215858 | 0.0277481 / -0.0226037 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 0 / 0 | -4.0547e-06 / 4.04293e-06 | 0.0149561 / 0.0225367 | -0.00921472 / 0.0182948 | 0 / 0 | 0.0174141 / -0.0171819 | -0.0336756 / 0.0336728 | -0.0336613 / 0.0336585 | -0.0126879 / 0.0185062 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0 / 0 | 9.33911e-06 / -9.42262e-06 | 0.230341 / -0.130948 | 0.0756717 / -0.0757293 | 0 / 0 | 0.0345006 / -0.0344576 | 0.0275826 / -0.0202482 | 0 / 0 | -0.0329658 / 0.0361386 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -1.06357e-05 / 1.04383e-05 | 0.215037 / -0.205951 | -0.173757 / 0.185523 | 0 / 0 | 0.0304442 / -0.029929 | 0 / 0 | -0.0273634 / 0.0381153 | 0.0122073 / -0.0119077 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | 2.33283e-05 / -2.33283e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | -4.60097e-06 / 4.60097e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.0453909 / -0.0662117 | 0.0453909 / -0.0662117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317785 / -0.0317854 | 0.0317785 / -0.0317854 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0616048 / -0.0469929 | 0.0782301 / -0.0681866 | 0 / 0 | 1.71313e-05 / -1.69787e-05 | -0.019748 / 0.0256512 | 0.051707 / -0.0492281 | -2.65231e-05 / 2.44535e-05 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0305939 / -0.00890294 | 0.107584 / -0.10764 | 0 / 0 | 0.0180273 / -0.0180292 | 0.0142016 / -0.0064392 | 0.0137913 / -0.0137924 | 0.0161329 / -0.0036935 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | 0 / 0 | 0 / 0 | -0.053199 / 0.0830581 | 0 / 0 | 0 / 0 | -0.0111224 / 0.0114731 | -0.0342829 / 0.0342751 | -0.0119079 / 0.0119071 | -0.0237815 / 0.0292879 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 0 / 0 | 0.0600804 / -0.0340727 | 0.0773969 / -0.0774364 | 0 / 0 | -0.0224622 / 0.0232017 | 0.0905152 / -0.0864584 | 0 / 0 | -0.014782 / 0.0147805 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0773263 / -0.0135189 | 0 / 0 | 0 / 0 | -0.0216279 / 0.0216234 | 0.110015 / -0.110094 | 0.0346686 / -0.0223369 | 0.0248813 / -0.0233575 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | -0.025889 / 0.0364681 | 0.0373915 / -0.0374069 | 0 / 0 | 0.0351019 / -0.0341342 | 0.0583531 / -0.0471158 | 0.0343055 / -0.0343185 | -0.0389474 / 0.0406024 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.115796 / -0.0144428 | 0.0386403 / -0.0386546 | 0 / 0 | -4.81433e-05 / 4.86173e-05 | -0.0413344 / 0.0418505 | 0.0586622 / -0.051168 | 0.0158828 / -0.00502705 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.104151 / 0.117319 | 0.0193923 / -0.0186291 | 0 / 0 | -0.0283764 / 0.0283715 | -0.0485146 / 0.0489582 | 0.0137351 / -0.0137361 | 0.0428102 / -0.0380114 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.318912 / -0.227001 | -0.0558721 / 0.0558168 | 0 / 0 | -0.0210921 / 0.0210838 | 0 / 0 | -0.0208336 / 0.0208256 | 0.0198405 / -0.0181595 | 0 / 0 | 0 / 0 |
