 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR5 | 4.44089e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0223938 / 0.0223937 | 0 / 0 | -0.0820703 / 0.0836573 | -0.104243 / 0.104243 | 0 / 0 | 4.44089e-16 / 4.44089e-16 | -0.034475 / 0.0364308 | 0.0257973 / -0.0257973 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0144473 / 0.0147267 | 0 / 0 | -0.0825344 / -0.197671 | -0.119553 / -0.132405 | 0 / 0 | -0.0463427 / -0.0354341 | -0.105597 / -0.0730359 | 0.0394827 / 0.054097 | 0.0152471 / 0.0249384 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0412642 / -0.0385369 | 0.019895 / -0.0198949 | -0.0408724 / 0.0448285 | -0.0358831 / 0.0420601 | 0 / 0 | -0.0213399 / 0.0213399 | -0.0784636 / 0.0784637 | -0.0276469 / 0.0276469 | 0.0474474 / -0.0471078 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0254991 / -0.0254991 | 0.0180984 / -0.0180984 | -0.140879 / 0.144874 | 0.0383166 / -0.0316055 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.0381576 / -0.0381576 | 0.0204819 / -0.0204819 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0449603 / -0.0427063 | 0.0246803 / -0.0246802 | 0.100902 / -0.0893654 | 0.0436406 / -0.019229 | 0 / 0 | 0.0238997 / -0.023305 | -0.0559197 / 0.0559198 | 2.22045e-16 / 4.44089e-16 | 0.0176146 / -0.0176146 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0366066 / -0.0366066 | 0.0316486 / -0.0316486 | 0.129107 / -0.121952 | 0.132274 / -0.132274 | 0 / 0 | 0.0377235 / -0.0377235 | 0.0620959 / -0.0620959 | 0.045575 / -0.045575 | 0.0272347 / -0.0260785 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0341453 / 0.0341452 | -0.0184849 / 0.0184849 | -0.0352339 / 0.0360437 | 0.0326377 / -0.00875437 | 0 / 0 | -0.0126284 / 0.0131941 | -0.0329732 / 0.0329732 | -0.0315396 / 0.0315396 | -0.0513646 / 0.0515824 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0592027 / -0.0592027 | 0.0363927 / -0.0363927 | -0.0315445 / 0.0315444 | 0.0988975 / -0.095556 | 0 / 0 | -2.22045e-16 / 0 | 0.0437302 / -0.0437302 | 0.0184621 / -0.0184621 | 0.0286587 / -0.028574 | 0 / 0 | 0 / 0 |
