 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR5 | -5.50618e-07 / 5.50618e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0220321 / 0.0220252 | 0 / 0 | -0.0807261 / 0.0821834 | -0.102485 / 0.102317 | 0 / 0 | 7.19808e-06 / -7.2236e-06 | -0.0339481 / 0.035852 | 0.0253906 / -0.0253992 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0158232 / 0.0161499 | 0 / 0 | -0.0697479 / -0.226073 | -0.112836 / -0.154995 | 0 / 0 | -0.0447753 / -0.0425107 | -0.102714 / -0.0877774 | 0.0362693 / 0.0639458 | 0.013717 / 0.0292904 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0404206 / -0.037784 | 0.0195075 / -0.0195144 | -0.0400111 / 0.0438398 | -0.0350744 / 0.0410743 | 0 / 0 | -0.0209083 / 0.0209009 | -0.0770231 / 0.0769307 | -0.0270984 / 0.027086 | 0.04641 / -0.0461183 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0250787 / -0.0250737 | 0.0178397 / -0.017837 | -0.139563 / 0.143757 | 0.0379697 / -0.0315001 | 0 / 0 | 3.07514e-06 / -2.99514e-06 | 0.0375032 / -0.0374932 | 0.0201496 / -0.0201462 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0447444 / -0.04251 | 0.0246068 / -0.0246093 | 0.100395 / -0.0889561 | 0.0433078 / -0.0190245 | 0 / 0 | 0.0237943 / -0.0232049 | -0.0556508 / 0.0556358 | 1.4089e-06 / -1.39115e-06 | 0.017525 / -0.0175264 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0363982 / -0.0364015 | 0.0314885 / -0.0314909 | 0.12826 / -0.121215 | 0.131225 / -0.131311 | 0 / 0 | 0.0375103 / -0.0375139 | 0.0617065 / -0.0617186 | 0.0453114 / -0.045317 | 0.0271073 / -0.0259614 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0331706 / 0.0331795 | -0.0179775 / 0.0179805 | -0.034291 / 0.0350624 | 0.0297255 / -0.00736437 | 0 / 0 | -0.0123383 / 0.0128713 | -0.0320347 / 0.0320431 | -0.0306414 / 0.0306492 | -0.0498528 / 0.0500747 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0587428 / -0.0584392 | 0.0361689 / -0.0360498 | -0.0314968 / 0.0315964 | 0.098098 / -0.0942851 | 0 / 0 | 1.35022e-06 / -1.36502e-06 | 0.0434386 / -0.0432687 | 0.0183683 / -0.0183368 | 0.0285029 / -0.0283519 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0409866 / -0.040958 | 0.024876 / -0.0248647 | 0.079062 / -0.077381 | 0.0465799 / -0.0327336 | 0 / 0 | 1.03876e-05 / -1.07626e-05 | 0.0225264 / -0.0225171 | 0.0605535 / -0.0604959 | 0.0248155 / -0.0233232 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0382125 / -0.0378044 | 0.0173515 / -0.0173509 | 0.0553335 / -0.0549991 | -0.03006 / 0.043605 | 0 / 0 | 0.0303782 / -0.0303396 | 0.0357113 / -0.0357104 | -0.0177085 / 0.0177098 | 0.0201872 / -0.0201864 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.018018 / -0.0174246 | 1.80042e-05 / -1.82854e-05 | 0.0129527 / -0.00737832 | 0.0391517 / -0.0325325 | 0 / 0 | 0.0223535 / -0.0223629 | 0 / 0 | 0.0203057 / -0.0203135 | 0.0158337 / -0.0158385 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0683082 / 0.0704601 | -0.0711222 / 0.0716751 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0548618 / -0.0515956 | 0.0390001 / -0.0388953 | 0.0154955 / 0.0186858 | -0.0270761 / 0.0271341 | 0 / 0 | 0.0479269 / -0.0472826 | -0.0454825 / 0.0456519 | 0.0372011 / -0.0371052 | 0.0359746 / -0.0351791 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.024522 / -0.0245256 | 2.72882e-05 / -2.779e-05 | -0.0435338 / 0.0435287 | 0.102716 / -0.0966494 | 0 / 0 | 2.71057e-06 / -2.72399e-06 | 0.01522 / -0.0152213 | 0.0309739 / -0.03098 | 0.0420838 / -0.0394816 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0680625 / -0.0679716 | 0.073359 / -0.0732567 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.00846706 / 0.0160545 | 4.74207e-06 / -4.77682e-06 | 0.000268303 / 0.039665 | -0.119142 / 0.150496 | 0 / 0 | -0.0353391 / 0.0354842 | 0.0326405 / -0.0325243 | -0.0147943 / 0.015103 | -0.012428 / 0.0162511 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.0141571 / -0.0108829 | 9.40532e-06 / -9.32399e-06 | -0.0430321 / 0.0937411 | 0.165603 / -0.133525 | 0 / 0 | -1.68193e-06 / 1.70362e-06 | -0.0799369 / 0.0807265 | -0.0307805 / 0.0308917 | -0.0125559 / 0.0131238 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0268866 / 0.0268782 | -2.24061e-06 / 2.24534e-06 | -0.0268593 / 0.0268509 | -0.0642579 / 0.0739089 | 0 / 0 | 0 / 0 | 0.0533697 / -0.0495979 | 0.0111631 / -0.0111645 | -0.0180461 / 0.0191487 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.0106259 / 0.010707 | 0 / 0 | 0.0693651 / -0.0325303 | -0.00881957 / 0.0446587 | 0 / 0 | -0.0163563 / 0.0163597 | 0.0230522 / -0.0216486 | -0.0510863 / 0.0511161 | -0.0105576 / 0.0122368 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0165418 / -0.0152903 | 0 / 0 | 0.0955484 / -0.0953657 | 0.230703 / -0.212103 | 0 / 0 | 0.0135213 / -0.0135184 | -0.030956 / 0.0309689 | 0.0289868 / -0.0289729 | 0.0466449 / -0.0428694 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0117767 / -0.0117736 | 0 / 0 | 0.122469 / -0.122007 | -0.0645135 / 0.0727443 | 0 / 0 | 1.82484e-06 / -1.85077e-06 | 0 / 0 | -0.0131649 / 0.0131684 | 0.0299589 / -0.0285592 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0303493 / 0.0303597 | -3.44836e-06 / 3.43582e-06 | -0.0328942 / 0.0329064 | -0.038353 / 0.0408145 | 0 / 0 | -0.0214235 / 0.0214289 | 0.011674 / -0.0116723 | 0.0474605 / -0.0474274 | -0.00703705 / 0.0148182 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0448006 / -0.0447996 | 0 / 0 | 0.0827243 / -0.0827333 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0354922 / 0.0354845 | -0.033172 / 0.0331653 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0.0184435 / -0.018446 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0114175 / -0.011414 | 0.0401322 / -0.0400897 | 0.0198713 / 0.0115651 | 0 / 0 | 0.0303968 / -0.0299833 | -0.0166182 / 0.0181517 | -0.0473927 / 0.0474546 | -0.0308248 / 0.0319413 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0619257 / 0.0619223 | -0.0100047 / 0.0100045 | -0.122689 / 0.122694 | 0 / 0 | -0.115758 / 0.11576 | -0.109552 / 0.109552 | -0.0909133 / 0.0909105 | -0.0676504 / 0.0676468 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | -0.0102573 / 0.0102567 | 0 / 0 | -0.0168542 / 0.0168524 | 0 / 0 | -0.0179037 / 0.0179017 | -0.0173899 / 0.017388 | -0.0145692 / 0.0145678 | -0.010054 / 0.0100534 | 0 / 0 | 0 / 0 |
 | PDF90412_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0160584 / 0.0160567 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90414_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0211181 / -0.0211211 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90428_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0152337 / 0.0152322 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 3.89135e-06 / -3.9072e-06 | -0.126229 / 0.131114 | 0.0147477 / -0.0139334 | 0 / 0 | 0 / 0 | -0.0199634 / 0.0199606 | 4.35062e-06 / -4.33938e-06 | 0.0199876 / -0.0182587 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | -4.26454e-06 / 4.2468e-06 | -0.0431703 / 0.0500535 | 0.0667842 / -0.0599866 | 0 / 0 | 0.0148776 / -0.0146576 | 0.0301609 / -0.0301554 | 1.38399e-06 / -1.36098e-06 | -9.82053e-08 / 1.29526e-07 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 0 / 0 | -5.55718e-06 / 5.5189e-06 | -0.0815727 / 0.0829278 | -0.0282486 / 0.0347492 | 0 / 0 | -1.35625e-06 / 1.36429e-06 | -0.0150664 / 0.0150659 | -1.00365e-06 / 9.89378e-07 | 9.83801e-07 / -6.61398e-07 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0 / 0 | 7.08663e-06 / -7.14501e-06 | 0.0295389 / -0.0120956 | -0.0113685 / 0.013868 | 0 / 0 | 0.0144367 / -0.0144389 | -0.0277018 / 0.0276942 | 1.19394e-06 / -1.20481e-06 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -6.37673e-06 / 6.34086e-06 | 0.0601581 / -0.0588062 | -0.0507861 / 0.0783618 | 0 / 0 | -1.26716e-06 / 1.24771e-06 | -0.0352139 / 0.0352113 | -1.13895e-06 / 1.14014e-06 | -0.0128737 / 0.0150066 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 1.75371e-06 / -1.77453e-06 | -0.0341748 / 0.0708928 | 0.184762 / -0.17651 | 0 / 0 | -0.0141248 / 0.0141259 | 0.0239244 / -0.0202852 | -0.0123642 / 0.012365 | -0.0211874 / 0.0226555 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 3.71362e-06 / -3.70871e-06 | 0.129846 / -0.12196 | 0.0540857 / -0.0475368 | 0 / 0 | -7.34327e-06 / 7.21983e-06 | 0 / 0 | 0.0194694 / -0.0194684 | 0.0245267 / -0.0239221 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -3.31932e-06 / 3.32534e-06 | 0.0645594 / -0.0559931 | -0.109045 / 0.117509 | 0 / 0 | -4.28179e-06 / 4.64468e-06 | 0.0256798 / -0.0256624 | -0.0162423 / 0.0162497 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 4.09072e-07 / -4.06029e-07 | 0.133164 / -0.130712 | -0.0878361 / 0.0879321 | 0 / 0 | 0.0348883 / -0.0346236 | 0.0365536 / -0.0353685 | 0.0432268 / -0.0431891 | 1.70267e-06 / -2.20542e-06 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | 2.71641e-05 / -2.71641e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | -1.30021e-06 / 1.30021e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90401_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.21211e-06 / -1.19863e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90402_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.11844e-06 / -1.11008e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90403_vbfhcc_2223 | 0 / 0 | 0 / 0 | 4.58325e-09 / -4.54704e-09 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90404_vbfhcc_2223 | 0 / 0 | 0 / 0 | -2.69924e-07 / 2.72057e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90405_vbfhcc_2223 | 0 / 0 | 0 / 0 | -4.53164e-08 / 4.49514e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90407_vbfhcc_2223 | 0 / 0 | 0 / 0 | -6.20996e-07 / 6.19013e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90409_vbfhcc_2223 | 0 / 0 | 0 / 0 | -1.09661e-06 / 1.08899e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90410_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.08566e-06 / -1.09482e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90411_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.8249e-07 / -1.80859e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90413_vbfhcc_2223 | 0 / 0 | 0 / 0 | -3.48317e-07 / 3.48041e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90418_vbfhcc_2223 | 0 / 0 | 0 / 0 | 1.22663e-06 / -1.2319e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90420_vbfhcc_2223 | 0 / 0 | 0 / 0 | 5.05697e-07 / -5.0045e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90422_vbfhcc_2223 | 0 / 0 | 0 / 0 | 4.67244e-07 / -4.63831e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90429_vbfhcc_2223 | 0 / 0 | 0 / 0 | -9.08755e-07 / 9.26332e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90430_vbfhcc_2223 | 0 / 0 | 0 / 0 | -1.32802e-06 / 1.3302e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.0453909 / -0.0662117 | 0.0453909 / -0.0662117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317785 / -0.0317854 | 0.0317785 / -0.0317854 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0102688 / -0.0102695 | -0.0381125 / 0.0447293 | 0 / 0 | -0.0144051 / 0.0144037 | -0.0484246 / 0.0484092 | 0.0138358 / -0.013837 | 0.0136766 / -0.0126858 | 0 / 0 | 0 / 0 |
