 |       | CCSR1 | CCSR2 | CCSR3 | CCSR4 | CCSR5 | CCSR6 | BBSR1_run3 | BBSR2_run3 | BBSR3_run3 | BBSR4_run3 | BBSR5_run3 | BBSR6_run3 | CCSR1_run3 | CCSR2_run3 | CCSR3_run3 | CCSR4_run3 | CCSR5_run3 | CCSR6_run3 | 
 | multijet | 527.812 pm 1.13687e-13 | 3342.72 pm 6.82121e-13 | 3399.75 pm 1.13687e-12 | 7639.12 pm 7.27596e-12 | 12337.8 pm 8.18545e-12 | 239332 pm 0 | 1351.16 pm 0 | 7448.12 pm 1.36424e-12 | 7236.56 pm 3.18323e-12 | 15408.6 pm 9.09495e-13 | 24736.9 pm 0 | 432199 pm 0 | 734.469 pm 2.27374e-13 | 4687.28 pm 4.54747e-12 | 5031.53 pm 2.27374e-12 | 11382.2 pm 1.81899e-12 | 19276.9 pm 7.27596e-12 | 409567 pm 0 | 
 | vbfhbb | 0.172333 pm 0.0802842 | 0.578181 pm 0.0835862 | 0.553128 pm 0.0796206 | 0.929818 pm 0.106337 | 1.03053 pm 0.15737 | 4.73611 pm 0.593882 | 24.7755 pm 5.84286 | 75.6705 pm 14.3574 | 49.6665 pm 7.98741 | 75.9378 pm 11.2323 | 75.1601 pm 10.433 | 201.652 pm 33.7223 | 0.231136 pm 0.0757097 | 0.889288 pm 0.118369 | 0.847277 pm 0.129325 | 1.604 pm 0.371363 | 1.8919 pm 0.36306 | 7.08811 pm 1.25193 | 
 | vbfhcc | 0.370111 pm 0.0378513 | 1.12138 pm 0.0787764 | 0.730708 pm 0.0688913 | 1.14767 pm 0.0897209 | 1.15353 pm 0.0952519 | 3.10538 pm 0.323936 | 0.00617491 pm 0.00272483 | 0.0196727 pm 0.0053878 | 0.0149777 pm 0.00638489 | 0.0208315 pm 0.00595306 | 0.0227314 pm 0.00500334 | 0.0645117 pm 0.0111773 | 0.535301 pm 0.125247 | 1.73742 pm 0.312077 | 1.19486 pm 0.195279 | 1.85296 pm 0.300289 | 1.88853 pm 0.312726 | 5.32303 pm 1.07344 | 
 | ggfhbb | 0.00367176 pm 0.0084635 | 0.0258331 pm 0.0321365 | 0.0345724 pm 0.0278033 | 0.0588051 pm 0.0525804 | 0.104017 pm 0.0555354 | 2.63015 pm 0.361648 | 0.343329 pm 0.18411 | 3.21158 pm 0.709137 | 2.5429 pm 1.16871 | 4.14187 pm 1.16135 | 6.86067 pm 2.2628 | 106.02 pm 14.9218 | 0.00168792 pm 0.00708322 | 0.038319 pm 0.0497523 | 0.0722496 pm 0.0863615 | 0.107023 pm 0.0830751 | 0.168648 pm 0.0790453 | 4.39645 pm 0.651816 | 
 | ggfhcc | 0.00283479 pm 0.00916682 | 0.044478 pm 0.0270576 | 0.0295325 pm 0.0219734 | 0.0664367 pm 0.0364778 | 0.0997319 pm 0.0488322 | 1.33262 pm 0.165475 | 0.000228451 pm 0.000168119 | 0.000509717 pm 0.000156845 | 0.000748741 pm 0.000367521 | 0.00171 pm 0.000509217 | 0.00275171 pm 0.0012201 | 0.0939606 pm 0.0187671 | 0.0105211 pm 0.014358 | 0.0454269 pm 0.0357577 | 0.0404142 pm 0.0433623 | 0.113252 pm 0.0620409 | 0.137405 pm 0.0765633 | 2.56651 pm 0.496501 | 
 | ttbar | 0.178853 pm 0.0990552 | 0.187363 pm 0.126859 | 0.389845 pm 0.208393 | 2.80126 pm 1.41542 | 4.98934 pm 2.51118 | 814.86 pm 407.939 | 0.671035 pm 0.353898 | 3.55293 pm 1.82819 | 1.5201 pm 0.778277 | 6.10892 pm 3.09095 | 12.5252 pm 6.31635 | 2678.12 pm 1341.81 | 3e-05 pm 2.82205e-06 | 0.583996 pm 0.29603 | 0.85875 pm 0.434172 | 2.11984 pm 1.07043 | 4.99855 pm 2.50959 | 1438 pm 720.472 | 
 | vbfz | 2.0946 pm 1.30247 | 8.77627 pm 4.78976 | 7.05894 pm 3.93186 | 10.9605 pm 5.96121 | 13.3849 pm 7.05689 | 50.3891 pm 25.6682 | 10.6216 pm 5.58781 | 39.9897 pm 20.5897 | 28.1238 pm 14.4657 | 45.9403 pm 23.3948 | 54.4404 pm 27.9796 | 181.609 pm 92.8671 | 3.59274 pm 2.10708 | 13.9271 pm 7.51902 | 10.3631 pm 5.66364 | 17.3085 pm 9.26366 | 20.6072 pm 10.8899 | 79.7491 pm 41.6757 | 
 | qcdz | 0.208951 pm 0.296935 | 3.92789 pm 2.48395 | 3.71425 pm 2.60439 | 7.9425 pm 5.44663 | 13.6244 pm 7.88642 | 359.884 pm 183.057 | 1.5435 pm 1.2436 | 11.0608 pm 6.33314 | 9.9014 pm 5.59126 | 24.5737 pm 13.2952 | 38.2605 pm 19.8884 | 969.235 pm 503.261 | 0.673106 pm 1.00874 | 4.43985 pm 3.35025 | 5.35144 pm 3.45619 | 12.4882 pm 7.30235 | 20.5836 pm 11.828 | 631.193 pm 332.136 | 
 | qcdw | 0.557833 pm 0.622709 | 3.37661 pm 2.34243 | 3.17643 pm 2.378 | 9.85344 pm 5.7372 | 19.7067 pm 10.6009 | 641.341 pm 326.093 | 0.590419 pm 1.4505 | 1.12927 pm 0.8882 | 3.33884 pm 3.4211 | 3.92141 pm 2.69519 | 6.43202 pm 4.72021 | 315.324 pm 164.644 | 0.684182 pm 0.634991 | 5.50899 pm 3.65342 | 6.10911 pm 3.89575 | 16.2164 pm 9.21985 | 29.0113 pm 15.6054 | 1118.08 pm 586.837 | 
 | vbfw | 1.23276 pm 0.834991 | 4.71891 pm 2.63777 | 3.50858 pm 2.19573 | 8.87313 pm 4.72095 | 11.9466 pm 6.38498 | 64.9288 pm 33.0384 | 0.0512803 pm 0.0283472 | 0.198974 pm 0.103794 | 0.121474 pm 0.0842699 | 0.816572 pm 0.534029 | 0.326233 pm 0.17552 | 4.872 pm 2.57414 | 1.16269 pm 0.955271 | 6.73479 pm 3.81086 | 6.09535 pm 3.66938 | 12.5536 pm 6.65737 | 17.7939 pm 9.36276 | 101.038 pm 52.3321 | 
 | bias_18 | 0 pm 6.2 | 0 pm 18.58 | 0 pm 12.21 | 0 pm 19.01 | 0 pm 19.15 | 0 pm 51.28 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 | 
 | bias_2223 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 |  0 pm 0 | 0 pm 9.43 | 0 pm 28.52 | 0 pm 18.82 | 0 pm 28.61 | 0 pm 28.34 | 0 pm 75.78 | 0 pm 6.74 | 0 pm 21.55 | 0 pm 14.87 | 0 pm 23 | 0 pm 23.47 | 0 pm 65.82 | 
 | Total | 532.634 pm 6.50766 | 3365.48 pm 20.3333 | 3418.95 pm 14.2211 | 7681.76 pm 24.1271 | 12403.8 pm 29.3263 | 241276 pm 589.684 | 1389.76 pm 13.2211 | 7582.96 pm 42.8611 | 7331.79 pm 29.3703 | 15570.1 pm 49.0142 | 24930.9 pm 58.211 | 436656 pm 1493.66 | 741.36 pm 7.41251 | 4721.19 pm 24.9591 | 5062.46 pm 18.82 | 11446.5 pm 32.4518 | 19374 pm 41.4121 | 412954 pm 1059.47 | 
 | data | 532 | 3371 | 3416 | 7706 | 12422 | 241275 | 1385 | 7582 | 7407 | 15596 | 24646 | 436656 | 758 | 4760 | 5094 | 11571 | 19506 | 412954 | 
