 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR1_run3 | 4.3028e-06 / -4.9433e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0143767 / -0.0143783 | 0.0681459 / -0.0393161 | 0.00704707 / 0.0924924 | 0.123056 / -0.106936 | 0 / 0 | 0.0162915 / -0.0162936 | -0.0768919 / 0.0771967 | 0 / 0 | 0.0134379 / -0.0123567 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0157845 / -0.015781 | 0 / 0 | 0.088774 / -0.0887004 | 0.0923674 / -0.079307 | 0 / 0 | 0.0188765 / -0.0173406 | 0.0781933 / -0.0781312 | 0.241305 / -0.0159958 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0167466 / -0.016748 | 0.0719652 / -0.0392545 | 0.0896804 / 0.0117936 | 0.028795 / -0.0106264 | 0 / 0 | 0 / 0 | -0.0988513 / 0.0989731 | -0.234374 / 0.234183 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0526922 / -0.0526883 | 0.147096 / -0.147137 | 0.0641567 / -0.0641526 | 0.0136401 / -0.000273655 | 0 / 0 | 0.0327496 / -0.0327474 | -0.0146523 / 0.0793978 | -0.0101314 / 0.0104224 | 0.0492141 / -0.0483012 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0339764 / 0.0339897 | -0.0754919 / 0.0755372 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0500828 / 0.0501081 | 0.0615803 / -0.0615071 | 0.232682 / -0.230127 | -0.0329246 / 0.0332236 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0700159 / -0.0695459 | 0.12212 / -0.093431 | 0 / 0 | -0.0497426 / 0.0524081 | 0 / 0 | 0.0719844 / -0.0714856 | -0.0311513 / 0.0766438 | -0.483652 / 0.529819 | 0.0693278 / -0.0674946 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0482823 / -0.0482399 | 0.0905928 / -0.0904689 | 0.0899809 / 0.00844677 | 0.123268 / -0.120438 | 0 / 0 | 0.0579017 / -0.0578394 | 0.0166425 / -0.00302783 | -0.243623 / 0.246832 | 0.0575741 / -0.0569001 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0204592 / -0.0204537 | 0.0844664 / -0.0726409 | 0.00450771 / 0.0925713 | 0.0495707 / -0.0336664 | 0 / 0 | 0.0199754 / -0.0187453 | -0.0462928 / 0.0463468 | 0 / 0 | 0.0148849 / -0.0144527 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0973726 / 0.0985308 | -0.0886682 / 0.0896444 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.146949 / -0.146375 | 0.208479 / -0.178279 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
