 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR5_run3 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0186985 / -0.0186978 | 0.0185996 / -0.0185996 | 0.0184069 / -0.00390587 | 0.0531506 / -0.0522786 | 0 / 0 | 0.0258018 / -0.0254568 | -0.032529 / 0.032529 | 0.00493454 / 0.0259919 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0168493 / -0.016848 | -0.0165699 / 0.0165699 | 0.0512255 / -0.0439006 | 0.0488541 / -0.0488541 | 0 / 0 | 0.0219771 / -0.0216558 | 0.028511 / -0.0263789 | 0.0461808 / -0.0280157 | -0.0144019 / 0.0144019 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0242075 / -0.0242075 | 0.0214443 / -0.0214444 | 0.05703 / -0.042544 | 0.0664363 / -0.0664362 | 0 / 0 | 0.033993 / -0.0336598 | 0 / 0 | -0.00234476 / 0.0331627 | -0.012619 / 0.0128433 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0341286 / -0.0341285 | 0.0407952 / -0.0407952 | 0.0915212 / -0.0914627 | 0.0289562 / -0.0289562 | 0 / 0 | 0.0334318 / -0.0328088 | 0.0224456 / -0.0224456 | 0.0325488 / -0.0325488 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0176789 / 0.0176789 | 0.0124593 / -0.0124592 | -0.0223298 / 0.0267252 | 0 / 0 | 0 / 0 | -0.0244436 / 0.0244437 | 0 / 0 | 0.049958 / -0.037766 | 0.0257068 / -0.0257068 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0351202 / -0.0351143 | 0.0287042 / -0.0287043 | 0.0162861 / -0.0107385 | 0 / 0 | 0 / 0 | 0.0296448 / -0.0293571 | -0.0104404 / 0.0104405 | -0.0346637 / 0.0346636 | -0.017431 / 0.017431 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0227086 / -0.0227073 | 0.0156392 / -0.0156392 | 0.0303914 / -0.0303328 | 0.0883901 / -0.0883901 | 0 / 0 | 0.0290529 / -0.0284116 | 0 / 0 | 0.0241061 / -0.0241061 | -0.023331 / 0.0241033 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0170767 / -0.0170766 | 0.0264531 / -0.0264531 | 0.0575782 / -0.0502533 | 0.0807568 / -0.0807567 | 0 / 0 | 0.0202267 / -0.0198895 | 0 / 0 | 0.0452535 / -0.0121216 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0668213 / 0.0668213 | -0.023922 / 0.023922 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
