 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR3 | -7.07666e-07 / 7.07666e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0149825 / 0.014681 | -0.0185819 / 0.0214592 | -0.349503 / -0.22462 | -0.295962 / 0.160747 | 0 / 0 | 0.0511412 / -0.0152357 | -0.151851 / 0.104843 | -0.0321201 / -0.00127796 | 0.0795148 / 0.161217 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0302817 / -0.030269 | 0.0151646 / -0.0151611 | 0.0969176 / -0.00585051 | 0.0366576 / -0.0366396 | 0 / 0 | 0.0514799 / -0.0514474 | 0.0726117 / -0.0369148 | 0.0662579 / -0.0524719 | -1.6513e-05 / 1.66392e-05 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0.0148618 / -0.0148584 | -0.0199182 / 0.0199232 | -0.18694 / 0.279634 | 0.252857 / -0.23561 | 0 / 0 | -0.0398445 / 0.0409229 | 0.0310868 / 0.0176414 | 0.033993 / -0.0339733 | -0.0551579 / 0.0677012 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | -0.0226221 / 0.024127 | 0.0436552 / -0.0434652 | -0.0534821 / 0.0538082 | 0.0815589 / -0.0809321 | 0 / 0 | -0.0164062 / 0.0170541 | 0.0101876 / 0.0304721 | -0.00669645 / 0.0133228 | 0.074057 / -0.0718651 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.0125688 / -0.0125701 | 0 / 0 | -0.149101 / 0.182595 | 0.18615 / -0.186435 | 0 / 0 | -0.0254785 / 0.0262286 | -0.03356 / 0.0495424 | -0.0049604 / 0.017367 | 0.0522938 / -0.0430993 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.0110309 / 0.0110305 | 6.41945e-07 / -6.38043e-07 | 0.288484 / -0.275486 | -0.00533691 / 0.0168302 | 0 / 0 | -0.0298396 / 0.0310846 | 0 / 0 | 0.0349277 / -0.029123 | 0.0111558 / -0.0111562 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0280135 / -0.0280033 | 0.0157559 / -0.0157524 | -0.021992 / 0.127947 | 0.135589 / -0.0984834 | 0 / 0 | -1.21391e-05 / 1.11893e-05 | 0.0247303 / -0.0210116 | 0.0783093 / -0.063286 | -0.0389814 / 0.0530409 | 0 / 0 | 0 / 0 |
