 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR5 | -7.77156e-16 / 1.55431e-15 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0221604 / 0.0221604 | -0.0100397 / 0.0100398 | 0.0747614 / 0.00998496 | -0.0478152 / 0.0478152 | 0 / 0 | 4.44089e-16 / -1.11022e-16 | 0.0418036 / -0.0332483 | -0.0381932 / 0.0381933 | -0.0165841 / 0.0194557 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0103081 / 0.0103081 | 0 / 0 | -0.11072 / 0.15334 | 0.0390964 / -0.0390963 | 0 / 0 | 0.0102584 / -0.00894602 | 0.0560357 / -0.0560357 | -0.0111693 / 0.0111694 | 0 / -5.55112e-16 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0198461 / 0.0227048 | 0 / 0 | -0.15424 / 0.227135 | -0.161964 / 0.0534827 | 0 / 0 | -0.0722757 / -0.0297785 | -0.10017 / -0.0124501 | -0.0473179 / 0.027978 | 0.0162761 / 0.0146581 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0114919 / -0.0114919 | 0.0156492 / -0.0156493 | 0.111054 / -0.0931512 | 0.131029 / -0.110538 | 0 / 0 | 0.0307573 / -0.026872 | 0.0337079 / -0.0324541 | -0.0181841 / 0.0181841 | 0.0274888 / -0.0271614 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0236388 / -0.0236388 | 0.0132786 / -0.0132786 | 0.118341 / -0.0947172 | -0.0972286 / 0.0972286 | 0 / 0 | 0.0315037 / -0.0313523 | 0.0220824 / -0.0220825 | 0.0326217 / -0.0326218 | 0.0714566 / -0.0570017 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0119891 / 0.0119891 | 0 / 0 | 0 / 0 | 0.0530082 / -0.0445955 | 0 / 0 | 0.0224288 / -0.0207594 | -0.0205311 / 0.0205311 | 0.0114072 / -0.0114072 | 0.0317617 / -0.0281921 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.0118923 / -0.0118923 | 0 / 2.22045e-16 | -0.000160888 / 0.0161472 | 0.0443404 / -0.0391441 | 0 / 0 | -0.0243489 / 0.0244499 | 0.0159581 / -0.0150155 | 0.012807 / -0.012807 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0246633 / -0.0246633 | 0.0141838 / -0.0141837 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0672507 / -0.0643394 | 0.0296935 / -0.0296936 | 0.016125 / 0.00139976 | 0.0162736 / -0.00888933 | 0 / 0 | 0.0119795 / -0.0118609 | 0.0518562 / -0.0480481 | 0.0332114 / -0.0332114 | 0.0406022 / -0.0385988 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.0271772 / 0.0271772 | -2.22045e-16 / -7.77156e-16 | 0.216877 / -0.00342759 | 0.100267 / -0.100267 | 0 / 0 | 0.0247835 / -0.023776 | -0.0819236 / 0.0819235 | 0 / 0 | 0.044283 / -0.0371904 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0255636 / -0.0255637 | -0.0167488 / 0.0167489 | -0.0119691 / 0.0199406 | 0.014776 / 0.00515324 | 0 / 0 | -0.013077 / 0.0137659 | 0.0353199 / -0.0235422 | -0.0156783 / 0.0156783 | -0.00858048 / 0.0111135 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.0333628 / -0.0333628 | -0.0155644 / 0.0155644 | -0.000155301 / 0.0278802 | 0.102785 / -0.100534 | 0 / 0 | 0 / -1.11022e-16 | -0.0184614 / 0.0184614 | 2.22045e-16 / 2.22045e-16 | -0.00831125 / 0.0169057 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0242119 / 0.024212 | 0 / -3.33067e-16 | 0.196627 / -0.0654846 | -0.116617 / 0.123945 | 0 / 0 | 0.039286 / -0.0383092 | 0.0210616 / -0.0210616 | -2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0.0463623 / -0.0463623 | -0.0113064 / 0.0113064 | 0.0240612 / -0.0166969 | 0.0708971 / -0.0708971 | 0 / 0 | -0.0546368 / 0.0553592 | -0.0541217 / 0.0543087 | 0.0382775 / -0.0382774 | 0.0123756 / -0.00900995 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | -0.0226535 / 0.0226536 | 0 / 0 | -0.0308924 / 0.0410225 | -0.135488 / 0.143407 | 0 / 0 | 0.0333167 / -0.0314392 | 0.0954276 / -0.0945151 | 2.22045e-16 / 0 | -0.0288395 / 0.038325 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | -0.0149972 / 0.0149972 | 0 / 0 | 0.117112 / -0.0272561 | 0.0127725 / -0.0032417 | 0 / 0 | -4.44089e-16 / -1.11022e-16 | 0.0742998 / -0.0739658 | 0.0383896 / -0.0383896 | -0.00552225 / 0.0134697 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | -0.0262022 / 0.0262616 | 0 / 0 | -0.020836 / 0.063485 | 0.153315 / -0.142405 | 0 / 0 | 0.0595566 / -0.0585975 | -0.0675026 / 0.0742904 | 0.0523623 / -0.0511122 | -0.0289775 / 0.0339715 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0213116 / -0.0213116 | 0 / 0 | -0.0282444 / 0.053094 | -0.0262408 / 0.0262408 | 0 / 0 | -0.0459405 / 0.0466898 | -0.046572 / 0.0511473 | 4.44089e-16 / -2.22045e-16 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0472427 / 0.0472427 | 0 / 0 | -0.151429 / 0.208198 | -0.0700872 / 0.0700873 | 0 / 0 | 0.0319672 / -0.0317162 | 0.0829147 / -0.0829148 | -0.0191955 / 0.0206618 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0277022 / -0.0277021 | 2.22045e-16 / 0 | -0.0252545 / 0.0326172 | 0.0898679 / -0.0898679 | 0 / 0 | 0.0144178 / -0.0142986 | 0 / 0 | 0.0377588 / -0.0377588 | 0.0340886 / -0.0234797 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0385125 / 0.0385125 | 0 / 0 | -0.0797679 / 0.0797678 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0313537 / -0.0313536 | 0 / 0 | 0.0596961 / -0.0596961 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0402054 / 0.0402054 | -0.0276131 / 0.0276131 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | 0.0142853 / -0.0142853 | -0.00982009 / 0.0211807 | 0.0338287 / -0.033349 | 0 / 0 | -0.015207 / 0.0160344 | -0.0129665 / 0.0129665 | 0 / -3.33067e-16 | -0.0100702 / 0.0100703 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0 / 0 | 0.0123536 / -0.0123536 | 0.0188271 / 0.00485262 | 0.0127736 / -0.00773151 | 0 / 0 | 0.0315385 / -0.0315385 | 0 / 0 | 0.0204712 / -0.0204713 | 0.0464946 / -0.0423813 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.0125745 / 0.0125745 | 0.0211433 / 0.048312 | 0.0621119 / -0.0553787 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -0.0559718 / 0.0559718 | -0.0575134 / 0.0575135 | -0.0230671 / 0.0262751 | 0 / 0 | 0 / 0 |
