 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.032989 / -0.032989 | 0.0411873 / -0.0411873 | 0.0299577 / -0.0299577 | 0.0396302 / -0.0396302 | 0 / 0 | 0.0371316 / -0.0371316 | 0.0365426 / -0.0365426 | 0.0365887 / -0.0365888 | 0.035414 / -0.035414 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0111778 / -0.0111778 | 0.0179554 / -0.0179555 | 0.0208287 / -0.0208287 | 0.023254 / -0.023254 | 0 / 0 | 0.0158829 / -0.015883 | 0.0210035 / -0.0210035 | 0.0222966 / -0.0222967 | 0.0201801 / -0.0201801 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0434197 / -0.0434196 | 0.0502131 / -0.0502131 | 0.0295049 / -0.0295048 | 0.0435275 / -0.0435275 | 0 / 0 | 0.0367344 / -0.0367344 | 0.0463181 / -0.0463181 | 0.0450349 / -0.0450349 | 0.0456398 / -0.0456398 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0485996 / -0.0485996 | 0.0558477 / -0.0558477 | 0.040284 / -0.040284 | 0.0532871 / -0.0532871 | 0 / 0 | 0.0325964 / -0.0325964 | 0.048496 / -0.048496 | 0.0521149 / -0.0521149 | 0.0373877 / -0.0373877 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.028859 / 0.0288589 | -0.0299161 / 0.0299161 | -0.0241251 / 0.0241252 | -0.029072 / 0.029072 | 0 / 0 | -0.0190906 / 0.0190906 | -0.0306899 / 0.0306899 | -0.036656 / 0.036656 | -0.0272192 / 0.0272192 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0573811 / -0.057381 | 0.0657313 / -0.0657313 | 0.065431 / -0.0654311 | 0.070356 / -0.070356 | 0 / 0 | 0.0463735 / -0.0463736 | 0.0604542 / -0.0604542 | 0.0710349 / -0.0710349 | 0.0559601 / -0.0559601 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0322584 / -0.0322584 | 0.0354855 / -0.0354854 | 0.0328784 / -0.0328783 | 0.0421214 / -0.0421214 | 0 / 0 | 0.0309895 / -0.0309895 | 0.0415461 / -0.0415461 | 0.0405681 / -0.0405681 | 0.0257335 / -0.0257335 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0216923 / -0.0216923 | 0.0262169 / -0.0262169 | 0.015003 / -0.0150029 | 0.0247321 / -0.0247321 | 0 / 0 | 0.0214524 / -0.0214524 | 0.0269524 / -0.0269524 | 0.0278124 / -0.0278125 | 0.0229694 / -0.0229694 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0606445 / 0.0606445 | -0.0582324 / 0.0582325 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
