 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0349328 / -0.0349429 | 0.0296683 / -0.0296755 | 0.0318315 / -0.0318399 | 0.0170917 / -0.0170939 | 0 / 0 | 0.0344562 / -0.0344661 | 0.02792 / -0.0279263 | 0.0277059 / -0.0277121 | 0.0381138 / -0.0381262 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0122684 / -0.0122661 | 0.0120849 / -0.0120827 | 0.011099 / -0.0110971 | 0.0212245 / -0.0212179 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0.0175157 / -0.0175111 | 0.0158082 / -0.0158045 | 0.0135681 / -0.0135654 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0223975 / -0.0223991 | 0.0199735 / -0.0199748 | 0.0166683 / -0.0166692 | 0.0196325 / -0.0196338 | 0 / 0 | 0.0228867 / -0.0228884 | 0.0190746 / -0.0190758 | 0.0168573 / -0.0168582 | 0.013859 / -0.0138597 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0139341 / -0.0139336 | 0.0138592 / -0.0138586 | 2.22045e-16 / 2.22045e-16 | 0.0157473 / -0.0157467 | 0 / 0 | 0.0122129 / -0.0122125 | 0.012794 / -0.0127936 | 0.0127905 / -0.0127901 | 0.0141848 / -0.0141843 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.025832 / 0.0258401 | -0.0242996 / 0.0243068 | -0.0284778 / 0.0284875 | -0.0228854 / 0.0228919 | 0 / 0 | -0.0181632 / 0.0181674 | -0.0236613 / 0.0236681 | -0.0249137 / 0.0249213 | -0.0260042 / 0.0260124 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0400951 / -0.0399339 | 0.0479004 / -0.047673 | 0.0352844 / -0.0351588 | 0.0480767 / -0.0478477 | 0 / 0 | 0.0338444 / -0.0337286 | 0.0388412 / -0.0386897 | 0.0433926 / -0.0432048 | 0.0381313 / -0.0379851 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0283872 / -0.0283714 | 0.0258804 / -0.0258671 | 0.0251039 / -0.0250914 | 0.0282136 / -0.0281979 | 0 / 0 | 0.0250244 / -0.0250119 | 0.0251177 / -0.0251051 | 0.0279862 / -0.0279707 | 0.0144402 / -0.0144359 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0188796 / -0.0188747 | 0.0176544 / -0.0176501 | 0.0217472 / -0.0217408 | 0.0300369 / -0.0300252 | 0 / 0 | 0.0261903 / -0.0261813 | 0.018088 / -0.0180835 | 0.0181956 / -0.018191 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0128644 / -0.0128656 | 0 / -1.11022e-16 | 0.012309 / -0.0123103 | 0.0127759 / -0.0127772 | 0 / 0 | -4.44089e-16 / 2.22045e-16 | 2.22045e-16 / 6.66134e-16 | -2.22045e-16 / -3.33067e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0385252 / -0.0385381 | 0.0347567 / -0.034767 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.031161 / -0.0310494 | 0.0351543 / -0.035013 | 0.0372629 / -0.0371047 | 0.032015 / -0.0318973 | 0 / 0 | 0.0369156 / -0.0367603 | 0.0436458 / -0.0434307 | 0.039961 / -0.0397798 | 0.0467163 / -0.0464712 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0157067 / -0.0157068 | 0.0130869 / -0.0130871 | 0.0126368 / -0.0126369 | 0.0216466 / -0.0216472 | 0 / 0 | 0.0175404 / -0.0175406 | 0.0130403 / -0.0130403 | 0.0131459 / -0.013146 | 0.0128252 / -0.0128253 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0138401 / -0.0135985 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0217272 / 0.0222569 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / 2.22045e-16 | -0.0146925 / 0.014719 | -0.012103 / 0.0121209 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0289412 / 0.030248 | -0.0131795 / 0.0131989 | -1.11022e-16 / 2.22045e-16 | -0.0219703 / 0.0225288 | 0 / 0 | -0.0137249 / 0.013746 | -0.0125055 / 0.012523 | -0.014548 / 0.0145717 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0.0126575 / -0.0126591 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
